id,total_spend_30,dep_spend_30,dep_count_30,visits_30,prodid_spend_30,prodid_count_30,prodid_spend_all,prodid_count_all,prodid_spend_corr
86246,16422.18000000003,54.24000000000001,20.0,29,0,0,0,0,-0.0
86252,29579.54000000104,157.99,45.0,28,1.99,1.0,4.98,2.0,4.98
12682470,125.65999999999993,0,0,7,0,0,0,0,-42.285714285714285
12996040,109.62,0,0,3,0,0,0,0,-42.285714285714285
13089312,336.7500000000001,15.75,6.0,15,0,0,0,0,-0.0
13179265,197.30000000000007,2.99,1.0,7,0,0,0,0,-42.285714285714285
13251776,1326.7000000000012,2.99,1.0,12,0,0,0,0,-1.8292682926829267
13540129,96.18999999999998,0,0,12,0,0,0,0,-1.8292682926829267
13807224,429.6800000000002,48.900000000000006,13.0,12,0,0,19.46,6.0,19.46
13873775,500.5900000000001,0,0,10,0,0,0,0,-42.285714285714285
13974451,66.04,0,0,3,0,0,0,0,-42.285714285714285
14088807,0,0,0,0,0,0,0,0,-1.8292682926829267
14381137,131.19,0,0,2,0,0,0,0,-42.285714285714285
14576147,59.03000000000001,0,0,3,0,0,0,0,-42.285714285714285
15530842,82.04,0,0,4,0,0,0,0,-42.285714285714285
15705695,84.40000000000002,0,0,3,0,0,0,0,-42.285714285714285
15738658,84.16,3.99,1.0,3,0,0,0,0,-42.285714285714285
15753725,574.0800000000002,0,0,4,0,0,0,0,-0.0
15941277,186.13,3.99,1.0,4,0,0,0,0,-42.285714285714285
15994113,240.80000000000007,0,0,9,0,0,0,0,-42.285714285714285
16138642,69.0,0,0,5,0,0,0,0,-22.682268226822682
16203579,850.7400000000006,0,0,25,0,0,0,0,-42.285714285714285
16238376,37.45,0,0,2,0,0,0,0,-42.285714285714285
16535563,328.6200000000001,45.67,4.0,2,0,0,0,0,-0.0
16606739,300.8900000000001,0,0,7,0,0,0,0,-0.0
16646740,337.29000000000013,0,0,8,0,0,0,0,-42.285714285714285
16691816,257.09000000000003,1.98,2.0,8,0,0,0,0,-28.870292887029287
16749437,179.96,0,0,4,0,0,0,0,-42.285714285714285
16797008,291.13000000000005,6.49,1.0,5,0,0,3.49,1.0,3.49
17456470,980.6700000000005,5.99,1.0,14,0,0,0,0,-0.0
17472223,173.76,9.99,1.0,2,0,0,0,0,-28.870292887029287
17486592,752.9000000000003,3.39,1.0,7,0,0,0,0,-42.285714285714285
17693343,35.150000000000006,0,0,6,0,0,0,0,-42.285714285714285
17764186,75.05999999999999,0,0,6,0,0,0,0,-42.285714285714285
17888308,590.1100000000005,31.230000000000004,7.0,8,0,0,0,0,-22.682268226822682
17995179,57.160000000000004,0,0,7,0,0,0,0,-42.285714285714285
18249735,365.2400000000003,0,0,8,0,0,0,0,-42.285714285714285
18259179,47.55,0,0,4,0,0,0,0,-0.0
18277411,422.3000000000002,12.97,3.0,16,0,0,62.350000000000016,15.0,62.350000000000016
18938874,103.69,0,0,3,0,0,0,0,-42.285714285714285
19069700,332.43,0,0,3,0,0,0,0,-42.285714285714285
19330664,197.74000000000004,0,0,15,0,0,0,0,-42.285714285714285
19506471,227.23000000000002,0,0,7,0,0,0,0,-42.285714285714285
19591356,180.10000000000002,0,0,7,0,0,0,0,-42.285714285714285
19773748,231.67000000000007,0,0,7,0,0,0,0,-42.285714285714285
19899195,92.38,0,0,5,0,0,0,0,-42.285714285714285
21024070,534.1800000000003,0,0,11,0,0,0,0,-0.0
21419778,487.1400000000001,0,0,12,0,0,0,0,-42.285714285714285
21603296,311.1800000000001,0,0,8,0,0,0,0,-0.0
21622166,223.67000000000004,0,0,3,0,0,0,0,-42.285714285714285
21837001,101.31,0,0,5,0,0,7.68,2.0,7.68
21860840,315.71000000000015,0,0,4,0,0,0,0,-42.285714285714285
22077078,127.7,0,0,7,0,0,0,0,-42.285714285714285
22491084,360.61000000000024,0,0,17,0,0,0,0,-42.285714285714285
22709494,81.64,7.98,2.0,5,0,0,0,0,-0.0
22725281,422.3500000000003,0,0,9,0,0,0,0,-42.285714285714285
22791304,84.52999999999999,0,0,4,0,0,0,0,-42.285714285714285
22816872,11.09,0,0,1,0,0,0,0,-42.285714285714285
23270065,98.84,0,0,5,0,0,0,0,-42.285714285714285
23412989,150.17,0,0,4,0,0,3.49,1.0,3.49
23447825,210.26000000000002,2.99,1.0,8,0,0,0,0,-42.285714285714285
23486921,122.52000000000001,0,0,6,0,0,0,0,-42.285714285714285
23791057,197.67000000000002,0,0,6,0,0,0,0,-0.0
44975538,383.6400000000001,0,0,11,0,0,0,0,-42.285714285714285
48445984,661.2700000000006,10.98,3.0,14,0,0,0,0,-42.285714285714285
48464291,279.92000000000013,14.48,2.0,6,0,0,0,0,-0.0
48468053,522.9300000000001,0,0,5,0,0,0,0,-42.285714285714285
48682962,287.61000000000007,0,0,4,0,0,0,0,-42.285714285714285
48693550,283.9799999999999,0,0,4,0,0,0,0,-42.285714285714285
48991232,84.58,0,0,3,0,0,0,0,-42.285714285714285
49165299,322.87000000000023,14.57,3.0,5,0,0,0,0,-1.8292682926829267
49315424,70.84,0,0,5,0,0,0,0,-42.285714285714285
49326153,347.5300000000002,0,0,11,0,0,0,0,-42.285714285714285
49434116,151.47000000000006,0,0,5,0,0,0,0,-42.285714285714285
49451971,154.44000000000005,0,0,5,0,0,0,0,-42.285714285714285
49613173,239.94000000000014,5.48,2.0,3,0,0,0,0,-1.8292682926829267
49806426,680.0200000000001,7.78,2.0,12,0,0,0,0,-1.8292682926829267
49817353,44.49,0,0,1,0,0,0,0,-42.285714285714285
49914843,21.98,0,0,1,0,0,0,0,-42.285714285714285
50380832,130.73999999999998,0,0,2,0,0,0,0,-42.285714285714285
50411403,0,0,0,0,0,0,0,0,-42.285714285714285
50622160,0,0,0,0,0,0,0,0,-42.285714285714285
50808053,30.320000000000007,0,0,1,0,0,0,0,-42.285714285714285
50865818,416.06000000000023,0,0,12,0,0,0,0,-42.285714285714285
50869828,469.3000000000004,9.780000000000001,2.0,5,0,0,0,0,-42.285714285714285
51099044,201.69000000000003,0,0,6,0,0,0,0,-42.285714285714285
51122746,391.8200000000001,10.49,1.0,6,0,0,0,0,-42.285714285714285
51150009,157.85,2.88,1.0,4,0,0,0,0,-42.285714285714285
51441524,366.92000000000024,0,0,4,0,0,0,0,-42.285714285714285
51531106,953.3000000000006,24.97,4.0,6,0,0,0,0,-42.285714285714285
52503923,54.680000000000014,0,0,3,0,0,0,0,-0.0
52566892,257.62000000000006,5.49,1.0,5,0,0,0,0,-1.8292682926829267
52598384,293.0400000000002,0,0,10,0,0,0,0,-42.285714285714285
52732914,128.55,0,0,6,0,0,0,0,-42.285714285714285
52933935,21.73,0,0,3,0,0,0,0,-42.285714285714285
53002206,238.6500000000001,0,0,7,0,0,0,0,-42.285714285714285
53024321,172.54,3.14,1.0,4,3.14,1.0,1.7300000000000002,3.0,1.7300000000000002
53042409,468.53000000000026,0,0,5,0,0,0,0,-42.285714285714285
53066499,853.9100000000008,0,0,8,0,0,0,0,-42.285714285714285
53078911,169.45000000000002,0,0,8,0,0,0,0,-1.8292682926829267
53250970,357.66000000000025,12.47,3.0,4,0,0,0,0,-22.682268226822682
53391520,99.78999999999999,0,0,5,0,0,0,0,-42.285714285714285
53421384,454.88,0,0,6,0,0,0,0,-42.285714285714285
53994426,233.18000000000004,0,0,7,0,0,0,0,-42.285714285714285
54108377,10.0,0,0,1,0,0,0,0,-42.285714285714285
54196583,99.69999999999999,0,0,10,0,0,0,0,-1.8292682926829267
54625209,456.30000000000035,9.18,2.0,4,0,0,0,0,-0.0
54825809,0,0,0,0,0,0,0,0,-42.285714285714285
55253605,682.9800000000007,10.030000000000001,2.0,11,0,0,0,0,-42.285714285714285
55431649,136.23999999999998,0,0,6,0,0,0,0,-42.285714285714285
55488429,155.67000000000002,0,0,4,0,0,0,0,-42.285714285714285
55882738,418.7400000000001,5.19,1.0,9,0,0,0,0,-0.0
56118474,173.87,4.38,2.0,6,0,0,0,0,-0.0
56554319,105.5,6.98,2.0,3,6.98,2.0,6.98,2.0,6.98
56912376,621.8200000000003,0,0,17,0,0,0,0,-42.285714285714285
56939637,39.88,0,0,1,0,0,0,0,-1.8292682926829267
57086094,134.95000000000002,11.47,3.0,2,0,0,0,0,-0.0
57132131,1432.2100000000014,2.59,1.0,21,0,0,0,0,-0.0
57337945,173.83000000000004,11.97,3.0,4,0,0,0,0,-42.285714285714285
57414874,369.7700000000001,0,0,2,0,0,0,0,-42.285714285714285
57465732,177.45,0,0,6,0,0,0,0,-42.285714285714285
57530684,199.9,5.7,1.0,5,0,0,0,0,-42.285714285714285
57608943,65.38000000000002,0,0,3,0,0,0,0,-42.285714285714285
57674291,80.69,0,0,4,0,0,0,0,-42.285714285714285
57719559,617.5300000000005,2.88,1.0,6,0,0,0,0,-42.285714285714285
57850102,751.3300000000005,0,0,4,0,0,0,0,-42.285714285714285
57973513,241.17000000000007,0,0,2,0,0,0,0,-42.285714285714285
58099874,551.7400000000005,5.0,1.0,4,0,0,0,0,-42.285714285714285
58121773,5.18,0,0,1,0,0,0,0,-42.285714285714285
58125841,0,0,0,0,0,0,0,0,-42.285714285714285
58487625,113.70999999999998,0,0,1,0,0,0,0,-42.285714285714285
58520187,350.7500000000001,0,0,5,0,0,0,0,-42.285714285714285
58544414,345.93999999999994,8.27,3.0,6,0,0,0,0,-1.8292682926829267
58574978,49.59,0,0,4,0,0,0,0,-42.285714285714285
58762517,800.1800000000006,25.439999999999998,6.0,10,0,0,3.99,1.0,3.99
59065372,686.070000000001,9.98,2.0,8,0,0,0,0,-42.285714285714285
59067761,11.97,0,0,3,0,0,0,0,-0.0
59192576,285.28000000000003,0,0,4,0,0,0,0,-42.285714285714285
59474603,327.68000000000006,9.99,1.0,8,0,0,0,0,-42.285714285714285
59585609,97.82000000000001,0,0,1,0,0,0,0,-42.285714285714285
59816528,558.1200000000003,15.96,4.0,6,0,0,3.59,1.0,3.59
60332240,566.0900000000003,3.79,1.0,5,0,0,0,0,-42.285714285714285
60456293,951.3300000000005,0,0,25,0,0,0,0,-42.285714285714285
60619909,253.98,0,0,4,0,0,0,0,-42.285714285714285
60766698,132.59000000000003,0,0,1,0,0,0,0,-42.285714285714285
60788872,493.9100000000002,0,0,9,0,0,0,0,-42.285714285714285
61031248,430.9100000000003,0,0,12,0,0,0,0,-42.285714285714285
61274786,375.39000000000016,0,0,3,0,0,0,0,-1.8292682926829267
61819046,73.83999999999999,0,0,3,0,0,0,0,-42.285714285714285
62231359,0,0,0,0,0,0,0,0,-0.0
62396175,395.0800000000002,0,0,4,0,0,0,0,-42.285714285714285
62400998,270.39000000000004,0,0,9,0,0,0,0,-0.0
62471255,364.20000000000033,0,0,5,0,0,0,0,-0.0
62518933,377.44000000000017,0,0,5,0,0,0,0,-42.285714285714285
62707639,697.7500000000007,0,0,20,0,0,0,0,-1.8292682926829267
62803931,324.4900000000001,5.79,1.0,4,0,0,0,0,-42.285714285714285
63097103,48.47,4.99,1.0,2,0,0,0,0,-0.0
63340358,391.5500000000002,2.99,1.0,4,0,0,0,0,-42.285714285714285
63422872,252.3700000000001,0,0,9,0,0,0,0,-42.285714285714285
63883643,25.160000000000004,0,0,2,0,0,0,0,-42.285714285714285
63904880,129.35999999999999,0,0,12,0,0,0,0,-0.0
63949570,56.08,0,0,4,0,0,0,0,-42.285714285714285
64086470,87.52999999999997,-2.49,-1.0,3,0,0,0,0,-42.285714285714285
64160330,707.7500000000006,0,0,10,0,0,0,0,-0.0
64288458,76.49999999999999,0,0,4,0,0,0,0,-42.285714285714285
64324753,612.2,0,0,7,0,0,0,0,-42.285714285714285
64585626,340.04999999999995,3.99,1.0,4,0,0,0,0,-0.0
64778099,111.34,0,0,6,0,0,0,0,-1.8292682926829267
65519775,157.92,0,0,5,0,0,0,0,-0.0
65550743,631.7900000000003,0,0,11,0,0,0,0,-42.285714285714285
65594165,860.9700000000007,4.49,1.0,20,0,0,0,0,-42.285714285714285
65599099,249.86000000000004,0,0,1,0,0,0,0,-42.285714285714285
65923948,536.3500000000001,0,0,15,0,0,0,0,-42.285714285714285
66507967,314.3500000000002,5.0,1.0,12,0,0,0,0,-42.285714285714285
66986222,465.3100000000003,0,0,5,0,0,0,0,-42.285714285714285
67209680,101.14999999999998,0,0,3,0,0,0,0,-42.285714285714285
67274959,355.6400000000002,13.55,5.0,6,0,0,0,0,-0.0
67317718,160.20999999999998,0,0,4,0,0,0,0,-42.285714285714285
67574740,203.90000000000006,0,0,10,0,0,0,0,-42.285714285714285
67619205,344.4700000000001,8.5,1.0,12,0,0,0,0,-42.285714285714285
67660532,415.0400000000005,4.18,2.0,16,0,0,0,0,-1.8292682926829267
67852785,344.3400000000002,14.97,3.0,7,3.99,1.0,3.99,1.0,3.99
67957375,672.7600000000004,38.720000000000006,8.0,6,0,0,0,0,-22.682268226822682
68076539,829.3000000000004,14.56,4.0,8,0,0,0,0,-0.0
68405887,443.3500000000003,2.75,1.0,3,0,0,0,0,-42.285714285714285
68451850,123.78,3.99,1.0,3,0,0,0,0,-22.682268226822682
68468663,365.3800000000002,14.860000000000001,4.0,5,0,0,0,0,-22.682268226822682
68553518,122.94999999999999,2.79,1.0,8,0,0,0,0,-42.285714285714285
68553874,17.090000000000003,5.49,1.0,1,0,0,8.97,3.0,8.97
68619204,320.87000000000023,0,0,7,0,0,0,0,-0.0
68734411,292.52000000000015,10.39,1.0,9,0,0,0,0,-42.285714285714285
68886117,186.56000000000003,79.32000000000001,18.0,4,0,0,0,0,-0.0
68903050,387.00000000000017,13.68,2.0,6,0,0,0,0,-42.285714285714285
69233695,225.72000000000003,0,0,7,0,0,0,0,-42.285714285714285
69355551,324.64000000000027,3.79,1.0,6,0,0,0,0,-42.285714285714285
69666042,55.68,0,0,4,0,0,0,0,-0.0
69727908,327.3400000000002,18.93,7.0,7,0,0,0,0,-22.682268226822682
69802491,52.47,0,0,2,0,0,0,0,-42.285714285714285
69900479,433.78000000000014,0,0,7,0,0,0,0,-42.285714285714285
70163937,270.87,6.49,1.0,11,0,0,0,0,-42.285714285714285
70217582,0,0,0,0,0,0,0,0,-0.0
70302821,512.4900000000001,2.88,1.0,14,0,0,0,0,-42.285714285714285
70312933,420.9400000000001,0,0,5,0,0,0,0,-42.285714285714285
70401965,252.6500000000001,0,0,3,0,0,0,0,-42.285714285714285
70623585,688.6900000000007,0,0,14,0,0,0,0,-42.285714285714285
70692138,652.2800000000009,0,0,5,0,0,0,0,-42.285714285714285
71054734,294.60000000000014,11.99,2.0,7,0,0,0,0,-42.285714285714285
71322589,599.0400000000004,0,0,11,0,0,0,0,-42.285714285714285
71378695,166.10000000000008,0,0,7,0,0,0,0,-42.285714285714285
71719354,283.8200000000001,0,0,10,0,0,0,0,-0.0
72013530,0,0,0,0,0,0,0,0,-42.285714285714285
72251692,95.14,9.98,2.0,3,0,0,0,0,-0.0
72495512,32.53,0,0,2,0,0,0,0,-42.285714285714285
72587201,635.8500000000001,0,0,6,0,0,0,0,-42.285714285714285
72600846,615.8600000000002,0,0,4,0,0,0,0,-0.0
72954514,82.17,0,0,3,0,0,0,0,-42.285714285714285
73121994,303.2000000000001,0,0,8,0,0,0,0,-42.285714285714285
73222886,204.73000000000002,0,0,10,0,0,0,0,-42.285714285714285
73238650,276.5200000000001,0,0,2,0,0,3.49,1.0,3.49
73325479,106.07,0,0,15,0,0,0,0,-42.285714285714285
73327812,329.82000000000016,0,0,11,0,0,0,0,-42.285714285714285
73327813,439.93,9.98,2.0,5,0,0,0,0,-42.285714285714285
73410200,0,0,0,0,0,0,0,0,-42.285714285714285
73552673,489.39,25.04,7.0,5,0,0,23.04,6.0,23.04
73606559,238.51000000000005,8.18,2.0,4,0,0,7.38,2.0,7.38
73719666,478.5000000000004,3.99,1.0,4,0,0,0,0,-0.0
73891863,281.92000000000013,0,0,5,0,0,0,0,-0.0
74059460,156.77,0,0,4,0,0,0,0,-42.285714285714285
74332465,317.38000000000005,10.99,1.0,2,0,0,0,0,-42.285714285714285
74469519,383.99000000000007,0,0,6,0,0,0,0,-42.285714285714285
75006613,137.34999999999997,0,0,6,0,0,0,0,-42.285714285714285
75032259,23.74,0,0,1,0,0,0,0,-22.682268226822682
75051515,85.82000000000002,0,0,2,0,0,0,0,-42.285714285714285
75088826,294.5000000000001,10.67,4.0,3,0,0,0,0,-22.682268226822682
75144651,133.34,6.0,2.0,2,0,0,0,0,-0.0
75251925,23.21,0,0,1,0,0,0,0,-42.285714285714285
75547491,241.95000000000002,0,0,9,0,0,0,0,-42.285714285714285
75562862,65.49000000000001,3.49,1.0,3,0,0,0,0,-0.0
75682991,275.10000000000014,0,0,6,0,0,0,0,-0.0
75697857,83.62,0,0,1,0,0,0,0,-42.285714285714285
75902494,216.36000000000004,0,0,4,0,0,0,0,-42.285714285714285
76029192,489.30000000000024,18.46,4.0,4,18.46,4.0,18.46,4.0,18.46
76053542,10.870000000000001,0,0,2,0,0,0,0,-42.285714285714285
76210273,241.65000000000006,8.97,3.0,5,5.98,2.0,5.98,2.0,5.98
76212982,786.0300000000005,0,0,18,0,0,0,0,-42.285714285714285
76422259,587.1900000000003,4.0,1.0,5,0,0,0,0,-0.0
76810402,213.02,0,0,1,0,0,0,0,-42.285714285714285
76957383,334.96000000000015,21.47,5.0,9,3.49,1.0,55.050000000000004,15.0,55.050000000000004
77057322,185.46,0,0,6,0,0,0,0,-42.285714285714285
77202444,229.92000000000007,0,0,7,0,0,0,0,-42.285714285714285
77225308,112.50999999999998,2.99,1.0,2,0,0,0,0,-0.0
77250071,71.23000000000002,0,0,1,0,0,0,0,-42.285714285714285
77270297,348.20000000000016,16.48,2.0,1,0,0,0,0,-0.0
77478019,140.38,4.78,2.0,4,0,0,0,0,-42.285714285714285
77660546,506.06000000000006,0,0,5,0,0,0,0,-42.285714285714285
77706058,282.3700000000001,4.99,1.0,3,0,0,0,0,-42.285714285714285
77734788,173.02,0,0,12,0,0,0,0,-42.285714285714285
77760889,509.42000000000036,43.290000000000006,11.0,12,0,0,6.58,2.0,6.58
77801039,197.86,6.49,1.0,2,0,0,0,0,-42.285714285714285
77989055,586.2100000000004,0,0,13,0,0,0,0,-42.285714285714285
77998305,704.0200000000002,6.59,1.0,18,0,0,0,0,-42.285714285714285
78011710,257.01000000000005,0,0,5,0,0,0,0,-42.285714285714285
78038363,45.68,0,0,2,0,0,0,0,-42.285714285714285
78093985,490.8300000000002,0,0,7,0,0,0,0,-42.285714285714285
78493420,391.20000000000005,0,0,17,0,0,0,0,-42.285714285714285
78533743,56.98000000000001,0,0,3,0,0,0,0,-42.285714285714285
78584042,750.8500000000004,17.990000000000002,7.0,4,0,0,0,0,-0.0
78682016,251.38000000000008,6.99,1.0,5,0,0,0,0,-42.285714285714285
78774376,766.1300000000003,3.99,1.0,13,0,0,0,0,-42.285714285714285
78811334,799.1800000000005,22.939999999999998,7.0,19,3.69,1.0,32.410000000000004,9.0,32.410000000000004
78828559,70.99,0,0,8,0,0,0,0,-42.285714285714285
78851124,378.67999999999995,0,0,10,0,0,0,0,-42.285714285714285
79022865,248.08000000000007,0,0,8,0,0,0,0,-42.285714285714285
79082239,50.910000000000004,0,0,3,0,0,0,0,-42.285714285714285
79296732,190.13000000000008,7.49,1.0,2,0,0,0,0,-42.285714285714285
79842864,248.1600000000001,4.79,1.0,6,0,0,0,0,-42.285714285714285
79878358,151.64999999999998,25.910000000000004,4.0,6,0,0,0,0,-0.0
79920713,100.91,0,0,2,0,0,0,0,-42.285714285714285
80065065,261.52,0,0,4,0,0,0,0,-1.8292682926829267
